20	3	2	18	0	1	1	1	1552987511	0	0	null
49	0	0	30	0	1	1	1	1552987369	0	0	null
50	3	6	30	0	1	1	1	1552987545	0	0	null
51	5	1	21	0	1	1	1	1552987542	5	0	null
56	21	1	4	0	1	1	1	1552987504	16	0	null
58	17	2	12	0	1	1	1	1552987543	2	0	null
67	0	4	19	0	1	1	1	1552987400	0	0	null
70	30	1	0	0	1	1	1	1552987350	21	0	null
77	4	1	14	0	1	1	1	1552987437	1	0	null
81	6	1	28	0	1	1	1	1552987544	0	0	null
95	16	3	8	0	1	1	1	1552987476	14	0	null
126	25	5	1	0	1	1	1	1552987405	12	0	null
168	11	1	3	0	1	1	1	1552987553	9	0	null
173	14	1	0	0	1	1	1	1552987550	7	0	null
195	11	1	11	0	1	1	1	1552987551	6	0	null
236	19	0	4	0	1	1	1	1552987558	5	0	null
